ORF,Gene Name,Molecular Weight (Da),Length (Amino Acids),Protein Abundance (molecules per cell),Protein decay rate (min-1),mRNA Abundance (molecules per cell)
YER136W,GDI1,51206,451,8020,0,2
YER137C,,16603,148,0,,0.5
YER137W-A,,11524,101,,,
YER138W-A,,3954,34,,,
YER139C,,26239,226,4604,0.007534,0.3
YER140W,,64793,556,748,0.000891,0.2
YER141W,COX15,54658,486,5181,0.013863,1.7
YER142C,MAG1,34333,296,1088,0,0.3
YER143W,DDI1,47354,428,3132,0.043322,0.4
YER144C,UBP5,92260,805,252,0.049511,0.5
YER145C,FTR1,45722,404,8920,0.003788,2
YER145C-A,,16018,145,,,
YER146W,LSM5,10423,93,0,,2.6
YER147C,SCC4,72140,624,1174,0.005097,0.3
YER147C-A,,14884,136,,,
YER148W,SPT15,27003,240,4164,0.000891,2.9
YER148W-A,,20822,192,,,
YER149C,PEA2,48164,420,3716,0.008774,0.4
YER150W,SPI1,14996,148,21220,0.000891,6.2
YER151C,UBP3,101916,912,3752,0.015403,0.5
YER152C,,49490,443,1123,0,0.7
YER152W-A,,21594,188,,,
YER153C,PET122,29155,254,393,0.008351,0.4
YER154W,OXA1,44815,402,5251,0.000891,1.1
YER155C,BEM2,245428,2167,2510,0.000265,0.8
YER156C,,38174,338,2860,0,0.9
YER157W,COG3,92543,801,2532,0.00456,0.4
YER158C,,63711,573,776,0.231049,0.2
YER158W-A,,8775,71,,,
YER159C,BUR6,15517,142,3411,0,1.7
YER161C,SPT2,38551,333,1154,0.02666,0.5
YER162C,RAD4,87203,754,736,0.01216,0.2
YER163C,,26293,232,1088,0.010345,0.9
YER164W,CHD1,168240,1468,1303,0.036481,0.4
YER165C-A,,13420,118,,,
YER165W,PAB1,64344,577,100115,0.000891,3.4
YER166W,DNF1,177797,1571,2016,0,0.5
YER167W,BCK2,93737,851,2207,0.000891,0.6
YER168C,CCA1,62484,546,7451,0.004359,0.4
YER169W,RPH1,90211,796,3119,0.012603,0.6
YER170W,ADK2,25194,225,1132,0.005134,0.3
YER171W,RAD3,89785,778,12123,0.02236,0.4
YER172C,BRR2,246183,2163,2712,0.086643,0.4
YER172C-A,,13972,126,,,
YER173W,RAD24,75726,659,632,0.04621,0.3
YER174C,GRX4,27493,244,3561,0,1
YER175C,TMT1,34768,299,787,0,0.3
YER175W-A,,6467,54,,,
YER176W,ECM32,126969,1121,1217,0.000891,0.7
YER177W,BMH1,30091,267,91016,0,12.5
YER178W,PDA1,46343,420,35697,0.009002,5.4
YER179W,DMC1,36612,334,0,,0.2
YER180C,ISC10,31655,267,0,,0.3
YER180C-A,SLO1,9735,85,,,
YER181C,,12458,107,0,,0.5
YER182W,,27698,244,1615,0.009763,0.6
YER183C,FAU1,24059,211,393,0,1.2
YER184C,,91076,794,0,,0.2
YER185W,,33732,303,2525,0.021004,0.2
YER186C,,35911,306,0,,0.6
YER187W,,15395,141,3888,0.000891,0.5
YER188C-A,,11411,99,,,
YER188W,,27312,239,1066,,0.3
YER189W,,14008,122,0,,0.3
YER190C-A,,17367,191,,,
YER190C-B,,18602,160,,,
YER190W,YRF1-2,190501,1681,0,,2.7
YFL001W,DEG1,50888,442,3109,0.008887,0.6
YFL002C,SPB4,69422,606,3100,0.023902,0.9
YFL003C,MSH4,99224,878,0,,0.2
YFL004W,VTC2,95440,828,2998,0.02666,0.7
YFL005W,SEC4,23506,215,0,,1.8
YFL007W,BLM10,245993,2143,1556,0.115525,0.4
YFL008W,SMC1,141279,1225,3190,0.027726,0.4
YFL009W,CDC4,86089,779,0,,0.8
YFL010C,WWM1,22655,211,5060,0.007534,2.4
YFL010W-A,AUA1,11722,94,0,,1.3
YFL011W,HXT10,60662,546,2386,0.000891,0.2
YFL012W,,17179,148,,,
YFL012W-A,,14509,124,,,
YFL013C,IES1,78752,692,1189,0.028881,0.5
YFL013W-A,,28771,267,2474,0.000891,0.7
YFL014W,HSP12,11693,109,2407,0,3.1
YFL015C,,19300,164,0,,0.2
YFL015W-A,,11665,105,,,
YFL016C,MDJ1,55561,511,3488,0.013078,1.7
YFL017C,GNA1,18135,159,2141,0.027726,0.8
YFL017W-A,SMX2,8482,77,2045,0.002334,0.8
YFL018C,LPD1,54010,499,15091,0,2
YFL019C,,13747,117,0,,0.3
YFL020C,PAU5,12845,122,0,,0.3
YFL021C-A,,31820,284,,,
YFL021W,GAT1,56327,510,994,0.033007,0.3
YFL022C,FRS2,57511,503,5200,0.000891,2.3
YFL023W,BUD27,91421,796,1158,0.053319,0.5
YFL024C,EPL1,96737,832,571,0.008155,0.5
YFL025C,BST1,117754,1029,1096,0.010046,0.3
YFL026W,STE2,47849,431,5556,0.077016,3.1
YFL027C,GYP8,57618,497,481,0.012603,0.5
YFL028C,CAF16,33090,289,1358,0.003165,1.2
YFL029C,CAK1,42186,368,1060,0.004916,0.3
YFL030W,AGX1,41907,385,285,0.000891,0.3
YFL031C-A,,3764,33,,,
YFL031W,HAC1,26904,238,7531,0.057762,4.2
YFL032W,,12384,106,0,,0.7
YFL033C,RIM15,196529,1770,162,0.000891,0.4
YFL034C-A,RPL22B,13827,122,42368,0,1.8
YFL034C-B,MOB2,33276,287,1362,0.038508,0.3
YFL034W,,119495,1073,934,0.01083,0.3
YFL036W,RPO41,153046,1351,15371,0.000891,0.5
YFL037W,TUB2,50922,457,24678,0.000891,3.3
YFL038C,YPT1,23214,206,21175,0.000891,6.1
YFL039C,ACT1,41689,375,202799,0.000891,16.1
YFL040W,,60609,540,0,,1
YFL041W,FET5,70880,622,3239,0.077016,0.6
YFL041W-A,,7583,63,,,
YFL042C,,76347,674,2318,0.000891,0.2
YFL044C,OTU1,33510,301,2325,0.010046,0.5
YFL045C,SEC53,29063,254,9137,0.017773,6.3
YFL046W,,24018,207,2568,,0.7
YFL047W,RGD2,82208,714,1344,0.005924,0.5
YFL048C,EMP47,50330,445,2771,0.053319,1
YFL049W,SWP82,70275,623,2673,0.231049,0.3
YFL050C,ALR2,96683,858,1344,0.231049,0.2
YFL051C,,18110,160,0,,0.3
YFL052W,,53240,465,0,,0.2
YFL053W,DAK2,62134,591,366,,0.1
YFL054C,,70507,646,0,,0.2
YFL055W,AGP3,61051,558,0,,0.3
YFL056C,AAD6,23918,212,0,,0.2
YFL057C,AAD16,16595,152,0,,0.9
YFL058W,THI5,38591,340,0,,0.3
YFL059W,SNZ3,32019,298,0,,0.4
YFL060C,SNO3,25132,222,164,0.009495,0.3
YFL061W,,25152,225,0,,0.2
YFL062W,COS4,45312,379,6814,0.006027,2
YFL063W,,17473,151,0,,0.4
YFL064C,,20427,174,0,,0.2
YFL065C,,11785,102,0,,0.2
YFL066C,,43828,392,0,,0.5
YFL067W,,16473,175,0,,0.1
YFL068W,,18593,160,0,,0.4
YFR001W,LOC1,23590,204,2463,0,1.5
YFR002W,NIC96,96173,839,5842,0.019804,0.5
YFR003C,YPI1,18187,155,910,0.000891,0.8
YFR004W,RPN11,34398,306,14447,0.005023,3.4
YFR005C,SAD1,52166,448,140,0.099021,0.6
YFR006W,,61753,535,838,0.000891,1.2
YFR007W,,39885,353,135,0.010193,0.3
YFR008W,FAR7,25915,221,408,0.019254,0.3
YFR009W,GCN20,85027,752,14174,0.014748,1.2
YFR009W-A,,10051,85,,,
YFR010W,UBP6,57110,499,3156,0.008351,1
YFR010W-A,,7345,62,,,
YFR011C,,18855,170,2850,0.013078,1.1
YFR012W,,22434,202,0,,0.3
YFR012W-A,,3377,28,,,
YFR013W,IOC3,90896,787,1007,0.007967,0.3
YFR014C,CMK1,50296,446,1281,0.006245,0.4
YFR015C,GSY1,80510,708,3220,0.019254,0.6
YFR016C,,137697,1233,3642,0.005825,0.3
YFR017C,,21783,195,599,0,0.4
YFR018C,,41031,363,3335,0.00108,0.8
YFR019W,FAB1,257447,2278,230,0.000891,0.4
YFR020W,,25720,232,0,,0.5
YFR021W,ATG18,55102,500,1199,0.004951,0.2
YFR022W,ROG3,79708,733,0,,0.1
YFR023W,PES4,70842,611,4496,0.000891,0.5
YFR024C-A,LSB3,48546,451,3056,0.040773,1.2
YFR025C,HIS2,38582,335,5133,0.005825,0.4
YFR026C,,18809,169,605,0.000891,0.3
YFR027W,ECO1,31845,281,611,0.000891,0.2
YFR028C,CDC14,61906,551,4169,0.034657,0.5
YFR029W,PTR3,76285,678,0,,0.2
YFR030W,MET10,114827,1035,1416,0.013078,0.3
YFR031C,SMC2,133927,1170,1838,0.016906,0.6
YFR031C-A,RPL2A,27408,254,47099,0,10.3
YFR032C,,31865,289,0,,0.3
YFR032C-A,RPL29,6669,59,72567,0,
YFR032C-B,,9953,87,,,
YFR033C,QCR6,17257,147,3808,0.004748,2.6
YFR034C,PHO4,34089,312,1316,0.000891,0.4
YFR034W-A,,11341,95,,,
YFR035C,,12457,114,0,,0.3
YFR036W,CDC26,14081,124,2148,,0.6
YFR036W-A,,24214,216,,,
YFR037C,RSC8,63168,557,2643,0.009367,0.8
YFR038W,,96965,853,0,,0.3
YFR039C,,59359,510,1909,0.115525,0.4
YFR040W,SAP155,114988,1002,3124,0.016504,0.4
YFR041C,ERJ5,34191,295,1991,0.000891,0.6
YFR042W,,23555,200,0,,0.5
YFR043C,,27878,237,1770,,0.5
YFR044C,DUG1,52871,481,15582,0.008453,3.9
YFR045W,,34391,309,0,,0.4
YFR046C,CNN1,41313,361,2130,0.011748,0.3
YFR047C,BNA6,32365,295,1462,0.0029,1.5
YFR048W,RMD8,75913,662,1173,0.346574,0.5
YFR049W,YMR31,13689,123,1619,0.000426,0.9
YFR050C,PRE4,29443,266,16361,0,3.6
YFR051C,RET2,60627,546,13549,0.014146,1.6
YFR052C-A,,11821,101,,,
YFR052W,RPN12,31919,274,10239,0,1.8
YFR053C,HXK1,53738,485,17831,0.014146,4.9
YFR054C,,20459,192,252,0.000891,
YFR055W,,36971,340,2190,0.023105,0.6
YFR056C,,14002,122,0,,0.8
YFR057W,,17503,151,,,
YGL001C,ERG26,38706,349,3562,0.004501,1.3
YGL002W,ERP6,25275,216,0,,0.8
YGL003C,CDH1,62821,566,0,,0.2
YGL004C,RPN14,46383,417,1251,0.013078,0.4
YGL005C,COG7,31775,279,1146,0,0.5
YGL006W,PMC1,130860,1173,83,0.000891,0.5
YGL006W-A,,4209,36,,,
YGL007C-A,,3169,28,,,
YGL007W,BRP1,13790,125,0,,0.7
YGL008C,PMA1,99618,918,567969,0.015403,22.7
YGL009C,LEU1,85794,779,50475,0.023902,1.6
YGL010W,,20173,174,548,0.000891,0.7
YGL011C,SCL1,28001,252,15099,0.009495,2.7
YGL012W,ERG4,56039,473,3421,0.003501,3.8
YGL013C,PDR1,121793,1068,1088,0.000891,0.6
YGL014C-A,,6603,53,,,
YGL014W,PUF4,97797,888,1354,0.031507,0.5
YGL015C,,14961,130,0,,0.7
YGL016W,KAP122,123530,1081,4816,0.008664,0.7
YGL017W,ATE1,57930,503,1108,0.001565,0.4
YGL018C,JAC1,21778,184,1688,0.015068,0.5
YGL019W,CKB1,32265,278,4655,0.040773,1
YGL020C,GET1,27092,235,3920,0.038508,1.8
YGL021W,ALK1,86086,760,1409,0.003767,0.5
YGL022W,STT3,81528,718,4954,0.036481,1
YGL023C,PIB2,70616,635,3960,0.000891,0.6
YGL024W,,12210,111,0,,0.3
YGL025C,PGD1,43079,397,467,0.033007,0.3
YGL026C,TRP5,76626,707,12147,0.023902,3.3
YGL027C,CWH41,96506,833,2382,0.02236,0.5
YGL028C,SCW11,56446,542,10304,0,1.2
YGL029W,CGR1,14417,120,3810,0.019254,2.1
YGL030W,RPL30,11415,105,40276,0,23.7
YGL031C,RPL24A,17613,155,139900,0,34.6
YGL032C,AGA2,9464,87,6585,0.000891,2.2
YGL033W,HOP2,25027,218,0,,0.4
YGL034C,,13573,121,0,,0.3
YGL035C,MIG1,55532,504,954,0.019804,0.7
YGL036W,,102370,909,408,0.115525,0.6
YGL037C,PNC1,24993,216,7240,0,5
YGL038C,OCH1,55155,480,4947,0.115525,0.5
YGL039W,,38259,348,1400,0.023105,1.6
YGL040C,HEM2,37740,342,7796,0,1.8
YGL041C,,11977,104,0,,0.5
YGL041C-B,,6994,60,,,
YGL041W-A,,9586,82,,,
YGL042C,,12127,101,0,,0.4
YGL043W,DST1,34843,309,4054,0.003767,1.9
YGL044C,RNA15,32790,296,5333,0.009763,0.6
YGL045W,RIM8,60864,542,658,0.04621,0.4
YGL047W,ALG13,22661,202,1636,0,0.6
YGL048C,RPT6,45271,405,10496,0.019254,3.5
YGL049C,TIF4632,103898,914,4063,0.01612,0.4
YGL050W,TYW3,30806,273,2847,0.00274,0.5
YGL051W,MST27,27241,234,0,,0.2
YGL052W,,12058,101,0,,0.2
YGL053W,PRM8,27250,237,1053,0.008774,0.4
YGL054C,ERV14,15930,138,9815,0.017329,3.1
YGL055W,OLE1,58403,510,6275,0.003591,5.9
YGL056C,SDS23,58111,527,10612,0.011002,0.6
YGL057C,,32959,287,1224,,0.4
YGL058W,RAD6,19705,172,4095,0.00608,1.3
YGL059W,,57356,491,378,0.01216,0.2
YGL060W,YBP2,73101,641,3251,0.015403,0.4
YGL061C,DUO1,27473,247,1048,0.00912,0.3
YGL062W,PYC1,130098,1178,11054,0,0.6
YGL063C-A,,5343,49,,,
YGL063W,PUS2,41875,370,0,,0.2
YGL064C,MRH4,63057,561,619,0.005728,0.2
YGL065C,ALG2,58047,503,1183,0.034657,0.3
YGL066W,SGF73,72878,657,462,0.034657,0.2
YGL067W,NPY1,43516,384,765,0.034657,0.6
YGL068W,MNP1,20650,194,5797,0.011748,1.3
YGL069C,,16084,154,0,,1.3
YGL070C,RPB9,14288,122,4050,0.007967,2.6
YGL071W,AFT1,77682,690,2296,0.030137,0.6
YGL072C,,13388,119,0,,0.2
YGL073W,HSF1,93281,833,1305,0.000891,0.4
YGL074C,,11500,108,,,
YGL075C,MPS2,44585,387,1506,0.000891,0.2
YGL076C,RPL7A,27638,244,73752,0,21.9
YGL077C,HNM1,62055,563,6256,0.02666,1.7
YGL078C,DBP3,58826,523,21900,0.021004,2.5
YGL079W,,24442,218,1369,0.017773,1.2
YGL080W,,14995,130,1931,0.018734,2.4
YGL081W,,36389,320,0,,0.2
YGL082W,,43321,381,4190,0.017329,1.2
YGL083W,SCY1,91000,804,954,0.019254,0.2
YGL084C,GUP1,65339,560,1542,0.000891,0.6
YGL085W,,32112,274,592,0.000891,0.5
YGL086W,MAD1,87651,749,551,0.028881,0.4
YGL087C,MMS2,15545,137,2074,0.013591,1.1
YGL088W,,14218,121,0,,0.4
YGL089C,MF(ALPHA)2,13271,120,0,,1.9
YGL090W,LIF1,48259,421,736,0.057762,0.2
YGL091C,NBP35,35253,328,2266,0.000891,0.7
YGL092W,NUP145,145660,1317,3776,0.024755,0.6
YGL093W,SPC105,104825,917,1411,0.000891,0.4
YGL094C,PAN2,127038,1115,1266,0.030137,0.3
YGL095C,VPS45,67017,577,2806,0.010193,0.4
YGL096W,TOS8,31257,276,0,,0.5
YGL097W,SRM1,53013,482,8552,0.000891,1.2
YGL098W,USE1,28106,245,932,0.020387,0.2
YGL099W,LSG1,72727,640,7499,0.015753,0.7
YGL100W,SEH1,39122,349,799,0.009627,0.8
YGL101W,,25297,215,1855,0.013591,1
YGL102C,,16175,142,0,,0.3
YGL103W,RPL28,16722,149,140037,0,29.5
YGL104C,VPS73,54331,486,0,,0.4
YGL105W,ARC1,42084,376,40349,0,5.1
YGL106W,MLC1,16444,149,10788,0.000891,3.1
YGL107C,RMD9,74595,646,2855,0.012603,0.5
YGL108C,,16037,140,2043,0,0.4
YGL109W,,12435,107,0,,0.3
YGL110C,CUE3,72042,624,3258,0.033007,0.4
YGL111W,NSA1,51906,463,2095,0.014441,0.8
YGL112C,TAF6,57901,516,3523,0.030137,0.6
YGL113W,SLD3,77297,668,105,0.043322,0.3
YGL114W,,80008,725,0,,0.6
YGL115W,SNF4,36401,322,6520,0,1.3
YGL116W,CDC20,67359,610,548,0.02666,0.4
YGL117W,,30755,265,125,0.000891,0.7
YGL118C,,16921,145,,,
YGL119W,ABC1,56741,501,828,0.027726,0.6
YGL120C,PRP43,87561,767,10854,0.021661,1.4
YGL121C,GPG1,14922,126,0,,0.5
YGL122C,NAB2,58321,525,10419,0.015753,2.3
YGL123C-A,,8264,76,,,
YGL123W,RPS2,27450,254,195906,0,31.7
YGL124C,MON1,73493,644,1238,,0.4
YGL125W,MET13,68560,600,7228,0.012836,0.4
YGL126W,SCS3,42735,380,1278,0.000891,1.4
YGL127C,SOH1,14741,127,868,0.000761,0.7
YGL128C,CWC23,33237,283,1382,,0.4
YGL129C,RSM23,55562,488,1779,0.010046,0.6
YGL130W,CEG1,52764,459,628,0.231049,1
YGL131C,SNT2,163202,1403,1390,0.004387,0.4
YGL132W,,12228,111,0,,0.5
YGL133W,ITC1,145642,1264,1539,0.005975,0.7
YGL134W,PCL10,48584,433,182,0.069315,0.5
YGL135W,RPL1B,24486,217,162499,0,42.3
YGL136C,MRM2,37423,320,0,,0.3
YGL137W,SEC27,99444,889,63072,0.013078,1
YGL138C,,40845,345,0,,0.1
YGL139W,FLC3,90761,802,769,0.000891,0.5
YGL140C,,137475,1219,918,0.031507,0.5
YGL141W,HUL5,105564,910,2617,0.024755,0.5
YGL142C,GPI10,72565,616,0,,0.4
YGL143C,MRF1,46770,413,348,0.005635,0.4
YGL144C,ROG1,78142,685,588,0.231049,0.2
YGL145W,TIP20,81166,701,3069,0.017329,0.5
YGL146C,,34706,311,0,,0.1
YGL147C,RPL9A,21569,191,71786,0,22.6
YGL148W,ARO2,40838,376,7641,0.010046,6
YGL149W,,11645,101,0,,0.8
YGL150C,INO80,171454,1489,2580,0.007877,0.4
YGL151W,NUT1,128793,1132,1255,0,0.5
YGL152C,,24082,225,0,,0.4
YGL153W,PEX14,38420,341,1178,0.010502,0.7
YGL154C,LYS5,30683,272,523,0.007374,0.5
YGL155W,CDC43,42689,376,3309,0.000089,0.5
YGL156W,AMS1,124498,1083,232,0.01333,0.2
YGL157W,,38083,347,2593,0.012378,1.8
YGL158W,RCK1,57980,512,0,,0.1
YGL159W,,41635,370,145,0.01118,0.6
YGL160W,,65839,570,0,,0.1
YGL161C,YIP5,34843,310,787,0.077016,2.5
YGL162W,SUT1,33191,299,922,0.033007,0.3
YGL163C,RAD54,101753,898,2135,,0.2
YGL164C,YRB30,50296,440,2005,0.011748,0.6
YGL165C,,21923,192,0,,0.3
YGL166W,CUP2,24425,225,1477,0.030137,0.9
YGL167C,PMR1,104570,950,6944,0.01216,0.9
YGL168W,HUR1,12515,110,0,,0.5
YGL169W,SUA5,46538,426,714,0.02666,0.4
YGL170C,SPO74,47700,413,0,,0.3
YGL171W,ROK1,63652,564,0,,0.9
YGL172W,NUP49,49142,472,3787,0.013591,1.2
YGL173C,KEM1,175458,1528,12243,0.008557,1.4
YGL174W,BUD13,30472,266,624,0.000891,0.3
YGL175C,SAE2,40097,345,861,0.043322,0.1
YGL176C,,63275,554,0,,0.2
YGL177W,,13679,115,0,,0.5
YGL178W,MPT5,95421,859,957,0.000891,1
YGL179C,TOS3,62090,560,0,,0.6
YGL180W,ATG1,101716,897,898,0.014748,0.1
YGL181W,GTS1,44407,396,1332,0.011002,1
YGL182C,,12220,107,0,,0.5
YGL183C,MND1,26083,219,0,,0.5
YGL184C,STR3,51828,465,458,,0.1
YGL185C,,42984,379,1202,0.01333,0.3
YGL186C,TPN1,64546,579,3327,0.000891,1
YGL187C,COX4,17142,155,6268,0.000891,2.6
YGL188C,,7035,57,0,,0.8
YGL188C-A,,5305,46,,,
YGL189C,RPS26A,13505,119,97095,0,60.3
YGL190C,CDC55,59662,526,4319,0.008664,0.5
YGL191W,COX13,15021,129,0,,2.4
YGL192W,IME4,69395,600,0,,0.9
YGL193C,,12000,103,0,,0.7
YGL194C,HOS2,51454,452,2048,0.005545,0.2
YGL194C-A,,9624,80,,,
YGL195W,GCN1,296695,2672,8153,0.040773,0.9
YGL196W,,47827,428,0,,0.8
YGL197W,MDS3,167073,1487,238,0.000891,0.3
YGL198W,YIP4,25995,235,0,,1.7
YGL199C,,16750,156,2988,0.000891,0.3
YGL200C,EMP24,23332,203,18294,0,5.5
YGL201C,MCM6,112977,1017,6931,0.033007,0.3
YGL202W,ARO8,56177,500,8656,0.011748,3.1
YGL203C,KEX1,82244,729,5615,0.013591,0.6
YGL204C,,11351,101,0,,1.1
YGL205W,POX1,84041,748,0,,0.2
YGL206C,CHC1,187232,1653,15976,0.006796,1.1
YGL207W,SPT16,118629,1035,13559,0.02666,1.1
YGL208W,SIP2,46404,415,252,0.000891,0.4
YGL209W,MIG2,42048,382,423,0.04621,0.8
YGL210W,YPT32,24520,222,3106,0.000891,0.8
YGL211W,NCS6,39987,359,1901,0,0.6
YGL212W,VAM7,36711,316,1356,0.011363,0.2
YGL213C,SKI8,44231,397,1725,0.002687,0.7
YGL214W,,18052,162,0,,0.3
YGL215W,CLG1,51570,452,0,,0.9
YGL216W,KIP3,91090,805,1018,0.057762,0.4
YGL217C,,12100,113,0,,0.4
YGL218W,,24153,216,0,,0.5
YGL219C,MDM34,51990,459,317,0.015403,0.5
YGL220W,,14102,120,1474,0.015403,5.2
YGL221C,NIF3,31888,288,3031,0.004305,2.7
YGL222C,EDC1,19237,175,1915,0.000891,0.3
YGL223C,COG1,48336,417,1535,0.016906,0.5
YGL224C,SDT1,31968,280,0,,0.5
YGL225W,VRG4,37018,337,26639,0.023902,6.8
YGL226C-A,OST5,9517,86,849,0.000891,1
YGL226W,,14488,123,982,0.030137,0.5
YGL227W,VID30,108178,958,1259,0.01118,0.3
YGL228W,SHE10,66862,577,5073,0.003014,0.9
YGL229C,SAP4,94728,818,571,0.017773,0.3
YGL230C,,17262,147,0,,0.5
YGL231C,,21460,190,1658,0.040773,2.8
YGL232W,TAN1,33550,289,1636,0.00673,1.2
YGL233W,SEC15,105063,910,2398,0.01612,0.7
YGL234W,"ADE5,7",86067,802,27509,0.004279,2.5
YGL235W,,19334,178,0,,0.3
YGL236C,MTO1,74215,669,0,,0.3
YGL237C,HAP2,29867,265,1769,,0.5
YGL238W,CSE1,109355,960,12953,0.004916,1
YGL239C,,11409,104,0,,0.5
YGL240W,DOC1,28776,250,1146,0.040773,0.2
YGL241W,KAP114,113920,1004,2467,0.021661,0.3
YGL242C,,20073,181,0,,1.6
YGL243W,TAD1,45946,400,0,,0.5
YGL244W,RTF1,65868,558,4537,0.030137,0.9
YGL245W,GUS1,80842,708,33531,0.013078,4.7
YGL246C,RAI1,44509,387,2415,0.008453,0.7
YGL247W,BRR6,22807,197,105,0,0.7
YGL248W,PDE1,42016,369,1180,0.007296,0.6
YGL249W,ZIP2,82815,704,2092,0.000891,0.6
YGL250W,,27708,241,1531,0.000891,0.3
YGL251C,HFM1,135071,1187,0,,0.3
YGL252C,RTG2,65572,588,2915,0.010046,0.9
YGL253W,HXK2,53942,486,135465,0.000891,10
YGL254W,FZF1,33994,299,1781,0.008252,0.5
YGL255W,ZRT1,41581,376,15403,0.021004,4.5
YGL256W,ADH4,50618,465,1564,0,4.8
YGL257C,MNT2,64852,558,982,0.000891,0.7
YGL258W,VEL1,22152,206,0,,0.1
YGL258W-A,,8690,77,,,
YGL259W,YPS5,17952,165,0,,0.3
YGL260W,,9030,76,,,
YGL261C,,12850,120,0,,0.8
YGL262W,,20131,175,0,,0.2
YGL263W,COS12,44803,380,0,,0.2
YGR001C,,28582,248,4413,0.013591,1
YGR002C,SWC4,55212,476,1270,0.014441,0.4
YGR003W,CUL3,86114,744,145,0.036481,0.3
YGR004W,PEX31,52942,462,200,0.000891,0.4
YGR005C,TFG2,46605,400,9978,0,1.4
YGR006W,PRP18,28377,251,1220,,0.2
YGR007W,MUQ1,36863,323,3062,0.004007,1.5
YGR008C,STF2,9615,84,4876,0.009242,5.7
YGR009C,SEC9,73623,651,0,,0.7
YGR010W,NMA2,44909,395,5490,0.010664,0.4
YGR011W,,12409,108,0,,0.5
YGR012W,,42801,393,2339,0,0.5
YGR013W,SNU71,71382,620,657,0.009495,0.2
YGR014W,MSB2,133113,1306,2884,0.018241,0.5
YGR015C,,37936,328,997,0.000891,0.3
YGR016W,,22226,190,200,0.077016,0.2
YGR017W,,34679,297,1972,0.003851,0.7
YGR018C,,11897,109,0,,0.6
YGR019W,UGA1,52946,471,1976,0.010345,1
YGR020C,VMA7,13461,118,10695,0.014146,3.9
YGR021W,,31700,290,1231,0,0.3
YGR022C,,11720,109,0,,0.4
YGR023W,MTL1,57527,551,963,,0.3
YGR024C,THG1,27757,237,904,0,1.4
YGR025W,,11711,100,0,,0.7
YGR026W,,33255,278,9828,0.011002,2.2
YGR027C,RPS25A,12039,108,173794,0,11.2
YGR028W,MSP1,40343,362,1825,0.019254,0.6
YGR029W,ERV1,21639,189,0,,1.7
YGR030C,POP6,18210,158,1954,0.025672,0.5
YGR031C-A,,17536,163,,,
YGR031W,,38510,342,3984,0,0.7
YGR032W,GSC2,216988,1895,2240,0.000891,0.6
YGR033C,TIM21,27205,239,3167,0.02666,0.9
YGR034W,RPL26B,14235,127,50374,0,28.1
YGR035C,,12907,116,0,,1.8
YGR035W-A,,8362,73,,,
YGR036C,CAX4,27649,239,1720,0,1
YGR037C,ACB1,10061,87,19655,0,12.3
YGR038W,ORM1,25245,222,2141,0.00459,1.3
YGR039W,,12324,103,0,,0.5
YGR040W,KSS1,42692,368,4604,0.008351,0.2
YGR041W,BUD9,60750,547,799,0.017329,0.3
YGR042W,,31025,271,1041,,0.3
YGR043C,,37253,333,1615,0.011363,0.3
YGR044C,RME1,33904,300,4116,0.000891,1.2
YGR045C,,13645,120,0,,0.1
YGR046W,TAM41,44199,385,164,0.019804,0.3
YGR047C,TFC4,120227,1025,736,0.030137,0.5
YGR048W,UFD1,39810,361,2650,0.009902,0.5
YGR049W,SCM4,20118,187,2700,0.023902,0.6
YGR050C,,13510,118,0,,0.3
YGR051C,,12091,107,0,,0.3
YGR052W,,42822,369,285,0.019804,0.3
YGR053C,,32200,283,1184,0.000891,0.1
YGR054W,,71304,642,1368,0.040773,0.8
YGR055W,MUP1,63221,574,25276,0.019804,1.4
YGR056W,RSC1,106668,928,217,0.021661,0.3
YGR057C,LST7,28136,242,551,0.000891,0.7
YGR058W,,38390,335,1369,0.043322,0.3
YGR059W,SPR3,59845,512,817,0.000891,0.1
YGR060W,ERG25,36479,309,48630,0,8.2
YGR061C,ADE6,148904,1358,25014,0.021004,1.8
YGR062C,COX18,35650,316,393,0.000891,0.6
YGR063C,SPT4,11158,102,5112,0.000891,1.9
YGR064W,,14390,122,0,,0.3
YGR065C,VHT1,69082,593,1840,0.016504,0.3
YGR066C,,34048,292,0,,0.2
YGR067C,,91047,794,,0,
YGR068C,,65476,586,1657,0.027726,0.2
YGR068W-A,,3155,31,,,
YGR069W,,13603,111,,,
YGR070W,ROM1,131391,1155,0,,0.4
YGR071C,,98108,860,886,0.018241,0.5
YGR072W,UPF3,44924,387,777,0.021004,0.4
YGR073C,,14066,123,0,,0.6
YGR074W,SMD1,16275,146,1674,0.005415,1
YGR075C,PRP38,27966,242,1543,0.023902,0.2
YGR076C,MRPL25,18587,157,1093,0.01083,0.8
YGR077C,PEX8,68165,589,452,0.02666,0.9
YGR078C,PAC10,23115,199,4451,0.018241,0.9
YGR079W,,40877,370,0,,0.9
YGR080W,TWF1,37070,332,1125,0.004621,0.7
YGR081C,SLX9,24069,210,3032,0.006359,0.9
YGR082W,TOM20,20317,183,6056,0,1.5
YGR083C,GCD2,70852,651,7873,0.000891,1.2
YGR084C,MRP13,38988,339,8599,0.008453,1.1
YGR085C,RPL11B,19750,174,103744,0,17.9
YGR086C,PIL1,38349,339,60224,0.006134,2.6
YGR087C,PDC6,61580,563,10775,0.000891,1.8
